2021-01-06 08:44:55 upgrade libp11-kit0:amd64 0.23.9-2 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.3
2021-01-06 08:44:55 status half-configured libp11-kit0:amd64 0.23.9-2
2021-01-06 08:44:55 status unpacked libp11-kit0:amd64 0.23.9-2
2021-01-06 08:44:55 status half-installed libp11-kit0:amd64 0.23.9-2
2021-01-06 08:44:55 status half-installed libp11-kit0:amd64 0.23.9-2
2021-01-06 08:44:55 status unpacked libp11-kit0:amd64 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 status unpacked libp11-kit0:amd64 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 startup packages configure
2021-01-06 08:44:55 configure libp11-kit0:amd64 0.23.9-2ubuntu0.1 <none>
2021-01-06 08:44:55 status unpacked libp11-kit0:amd64 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 status half-configured libp11-kit0:amd64 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 status installed libp11-kit0:amd64 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 startup packages configure
2021-01-06 08:44:55 configure p11-kit-modules:amd64 0.23.9-2ubuntu0.1 <none>
2021-01-06 08:44:55 status unpacked p11-kit-modules:amd64 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 status half-configured p11-kit-modules:amd64 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 status installed p11-kit-modules:amd64 0.23.9-2ubuntu0.1
2021-01-06 08:44:55 trigproc libc-bin:amd64 2.27-3ubuntu1.3 <none>
2021-01-06 08:44:55 status half-configured libc-bin:amd64 2.27-3ubuntu1.3
2021-01-06 08:44:55 status installed libc-bin:amd64 2.27-3ubuntu1.3
2021-01-06 08:44:57 startup archives unpack
2021-01-06 08:44:58 upgrade p11-kit:amd64 0.23.9-2 0.23.9-2ubuntu0.1
2021-01-06 08:44:58 status half-configured p11-kit:amd64 0.23.9-2
